Variable Name/Key,Figma Preview URL,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Suggested Machine Translation,Status,Amharic Status,Environment,Notes
S1 - Landing Page - Body 5,,"They attended a school that offers the National School Breakfast or Lunch Program (NSLP) during the 2025-2026 school year, **and**
Everyone in their household combined earns less than 185% of the federal poverty guideline.",,"Asistieron a una escuela que ofrece el Programa Nacional de Desayunos o Almuerzos Escolares (NSLP) durante el año escolar 2025–2026, **y**

todas las personas de su hogar, sumadas, ganan menos del 185% de las pautas federales de pobreza.",,"በ2025-2026 የትምህርት ዘመን ብሔራዊ የትምህርት ቤት ቁርስ ወይም ምሳ ፕሮግራም (NSLP) የሚያቀርብ ትምህርት ቤት ተምረዋል፣ **እና**
በቤተሰባቸው ውስጥ ያለ እያንዳንዱ ሰው በአጠቃላይ ከፌዴራል የድህነት መመሪያ 185% ያነሰ ገቢ ያገኛል።","በ2025-2026 የትምህርት ዘመን ብሔራዊ የትምህርት ቤት ቁርስ ወይም ምሳ ፕሮግራም (NSLP) የሚያቀርብ ትምህርት ቤት ተምረዋል፣ **እና**
በቤተሰባቸው ውስጥ ያለ እያንዳንዱ ሰው በአጠቃላይ ከፌዴራል የድህነት መመሪያ ውስጥ ከ185% ያነሰ ገቢ ያገኛል።",Ready to Publish,,"Figma, Code",
S1 - Landing Page - Body 6,,"Tap ""Do I need to apply?"" to see if you should apply for your student.",,Toca “¿Necesito aplicar?” para ver si deberías aplicar para tu estudiante.,,"ለተማሪዎ ማመልከት እንዳለብዎት ለማየት ""ማመልከት አለብኝ?"" የሚለውን ይጫኑ።","ለተማሪዎ ማመልከት እንዳለብዎት ለማየት ""ማመልከት አለብኝ?"" የሚለውን ይጫኑ።",Ready to Publish,,"Figma, Code",
S1 - Disclaimer - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6736-19904&t=8l7C0qBZTmPYNmbj-4,What to know before we begin,What to know before we begin,Lo que debes saber antes de comenzar,Lo que debes saber antes de comenzar,ከመጀመራችን በፊት ማወቅ ያለብን ነገር,ከመጀመራችን በፊት ማወቅ ያለብን ነገር,Ready to Publish,,"Figma, Code",
S1 - Disclaimer - Body 1,,This is not an application for DC SUN Bucks.,This is not an application for Summer EBT.,Esto NO es una aplicación para DC SUN Bucks,Esto NO es una aplicación para Summer EBT,ይህ ለ DC SUN Bucks የቀረበ ማመልከቻ አይደለም።,ይህ ለዲሲ ሰኔ ቡክስ የቀረበ ማመልከቻ አይደለም።,Ready to Publish,,"Figma, Code",
S1 - Disclaimer - Body 2,,This tool will help you learn if you need to apply to DC SUN Bucks for your students.,This tool will help you learn if your children are potentially eligible for Summer EBT and if you should apply.,Esta herramienta te ayudará a saber si necesitas aplicar a DC SUN Bucks para tus estudiantes.,Esta herramienta te ayudará a saber si tus niños podrían calificar para Summer EBT y si debes aplicar.,ይህ መሳሪያ ለተማሪዎችዎ በDC SUN Bucks ማመልከት ከፈለጉ ለማወቅ ይረዳዎታል።,ይህ መሳሪያ ለተማሪዎችዎ በዲሲ ሰኔ ቡክስ ማመልከት ከፈለጉ ለማወቅ ይረዳዎታል።,Ready to Publish,,"Figma, Code",
S1 - Disclaimer - Body 3,,The information you provide will be kept private and secure.,The information you provide will be kept private and secure.,La información que nos proporciones se mantendrá privada y segura.,La información que nos proporciones se mantendrá privada y segura.,የሚሰጡት መረጃ ሚስጥራዊ እና ደህንነቱ የተጠበቀ ይሆናል።,የሚሰጡት መረጃ ሚስጥራዊ እና ደህንነቱ የተጠበቀ ይሆናል።,Ready to Publish,,"Figma, Code",
S1 - Disclaimer - Body 4,,Using this tool will not affect your potential DC SUN Bucks benefits or other benefits you get.,Using this tool will not affect your potential Summer EBT benefits or other benefits you get.,Usar esta herramienta no afectará tus posibles beneficios de DC SUN Bucks ni otros beneficios que recibes.,Usar esta herramienta no afectará tus posibles beneficios de Summer EBT ni otros beneficios que recibes.,ይህንን መሳሪያ መጠቀም የDC SUN Bucks ጥቅማ ጥቅሞችዎን ወይም የሚያገኟቸውን ሌሎች ጥቅማ ጥቅሞች ላይ ተጽዕኖ አያሳድርም።,ይህንን መሳሪያ መጠቀም የዲሲ ሰኔ ቡክስ ጥቅማ ጥቅሞችዎን ወይም የሚያገኟቸውን ሌሎች ጥቅማ ጥቅሞች ላይ ተጽዕኖ አያሳድርም።,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-16775&t=8l7C0qBZTmPYNmbj-4,Check if your student needs to apply for DC SUN Bucks,Check if your child needs to apply for Summer EBT,Comprueba si tu estudiante necesita aplicar para recibir los beneficios de DC SUN Bucks,Comprueba si tu niño/a necesita aplicar para recibir los beneficios de Summer EBT,ተማሪዎ ለDC SUN Bucks ማመልከት ይኖርበት እንደሆነ ያረጋግጡ።,ተማሪዎ ለዲሲ ሰኔ ቡክስ ማመልከት ይፈልግ እንደሆነ ያረጋግጡ።,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Body,,Please provide your student's information in the required fields below. This tool will check if they're automatically enrolled to receive benefits.,Please provide your child's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporciona la información de tu estudiante en los campos obligatorios a continuación. Esta herramienta comprobará si tu estudiante queda inscrito de forma automática para recibir beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu niño/a queda inscrito de forma automática para recibir los beneficios.,እባክዎን የተማሪዎን መረጃ ከታች ባሉት አስፈላጊ መስኮች ያቅርቡ። ይህ መሳሪያ ጥቅማ ጥቅሞችን ለመቀበል በራስ-ሰር የተመዘገቡ መሆናቸውን ያረጋግጣል።,እባክዎን የተማሪዎን መረጃ ከታች ባሉት አስፈላጊ መስኮች ያቅርቡ። ይህ መሳሪያ ጥቅማ ጥቅሞችን ለማግኘት በራስ-ሰር የተመዘገቡ መሆናቸውን ያረጋግጣል።,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Label Birthdate,,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,የትውልድ ቀን,የትውልድ ቀን,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Label Month,,Month,Month,Mes,Mes,ወር,ወር,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Label Day,,Day,Day,Día,Día,ቀን,ቀን,Ready to Publish,,"Figma, Code",
S1 - Personal Information - Label Year,,Year,Year,Año,Año,አመት,አመት,Ready to Publish,,"Figma, Code",
S1 - Confirm Personal Information - Title,,!N/A!,Here's the information we have so far,!N/A!,Aquí está la información que tenemos hasta ahora,እስካሁን ያገኘነው መረጃ ይኸውና,,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Body,,!N/A!,"Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.",!N/A!,"Revisa la información de tu(s) niño/a(s) a continuación. Puedes agregar otro niño/a para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tu(s) niño/a(s).","የተማሪዎን መረጃ ከዚህ በታች ይገምግሙ። ማመልከት እንደሚያስፈልጋቸው ለማየት ሌላ ማከል ይችላሉ። ተማሪዎን ማከልዎን ከጨረሱ ""አስገባ"" የሚለውን ይጫኑ።",,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Table Name Heading,,!N/A!,Name,!N/A!,Nombre,ስም,,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Table Name Value,,!N/A!,[First name] [M.] [Last name],!N/A!,[Nombre] [Inicial del segundo nombre] [Apellido],[First name] [M.] [Last name],,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Table Birthdate Heading,,!N/A!,Birthdate,!N/A!,Fecha de nacimiento,የትውልድ ቀን,,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Table Birthdate Value,,!N/A!,"[Month], [Day] [Year]",!N/A!,[día] de [mes] de [año],[ወር]፣ [ቀን] [ዓመት],,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Table Action,,!N/A!,Update this child's information,!N/A!,Actualizar la información de este niño/a,የዚህን ተማሪ መረጃ አዘምን,,!N/A!,,!N/A!,
S1 - Confirm Personal Information - Action Add,,!N/A!,Add another child,!N/A!,Agregar otro niño/a,!N/A!,,!N/A!,,!N/A!,
S1 - Optional ID Information - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6096-19598&t=8l7C0qBZTmPYNmbj-4,We checked our records and need more information to see if this student can get DC SUN Bucks,We checked our records and need more information to see if this child can get Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si este estudiante puede recibir DC SUN Bucks,Revisamos nuestros registros y necesitamos más información para ver si este niño/a puede recibir Summer EBT,መዝገቦቻችንን አጣርተናል እና ይህ ተማሪ DC SUN Bucks ማግኘት ይችል እንደሆነ ለማየት ተጨማሪ መረጃ እንፈልጋለን።,መዝገቦቻችንን አጣርተናል እና ይህ ተማሪ የዲሲ ሰኔ ቡክስን ማግኘት ይችል እንደሆነ ለማየት ተጨማሪ መረጃ እንፈልጋለን።,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Body,,"We suggest providing any of the student's Student ID, SNAP, or TANF numbers if you have them. We can give you a better answer about whether they are pre-approved.","We suggest providing any of the child's Student ID, SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Sugerimos que proporciones el número de identificación estudiantil, número de SNAP, o TANF del estudiante, si los tienes. Así podemos darte una mejor respuesta sobre si ya está preaprobado(a).","Sugerimos que proporciones el número de identificación estudiantil, número de SNAP, Colorado Works (TANF) o Medicaid del niño/a, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",የተማሪውን የተማሪ መታወቂያ፣ የSNAP ወይም የTANF ቁጥሮች ካሉዎት እንዲያቀርቡ እንመክራለን። አስቀድመው ተቀባይነት አግኝተዋል ወይ የሚለውን በተመለከተ የተሻለ መልስ ልንሰጥዎ እንችላለን።,የተማሪውን የተማሪ መታወቂያ፣ የSNAP ወይም የTANF ቁጥሮች ካሉዎት እንዲያቀርቡልን እንመክራለን። አስቀድመው የጸደቁ መሆን አለመሆናቸውን በተመለከተ የተሻለ መልስ ልንሰጥዎ እንችላለን።,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Label Which ID,,Which ID number can you provide? *,Which ID number can you provide? *,¿Qué número de identificación puedes proporcionar? *,¿Qué número de identificación puedes proporcionar?,የትኛውን የመታወቂያ ቁጥር መስጠት ይችላሉ? *,የትኛውን የመታወቂያ ቁጥር መስጠት ይችላሉ? *,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option Student ID,,Unique Student ID,Unique Student ID,Identificación de estudiante única,Identificación de estudiante única,ልዩ የተማሪ መታወቂያ,ልዩ የተማሪ መታወቂያ,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option Helper Student ID,,This number is the Universal Student ID Number for your student.,This number is the Universal Student ID Number for your child.,Este es el número de identificación universal de estudiante de tu(s) estudiante(s).,Este es el número de identificación universal de estudiante de tu niño/a,ይህ ቁጥር የተማሪዎ ሁለንተናዊ የተማሪ መታወቂያ ቁጥር ነው።,ይህ ቁጥር የተማሪዎ ሁለንተናዊ የተማሪ መታወቂያ ቁጥር ነው።,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option Medicaid ID,,!N/A!,Medicaid identification number (CIN / I-CIN),!N/A!,Número de identificación de Medicaid (CIN / I-CIN),!N/A!,,!N/A!,,!N/A!,
S1 - Optional ID Information - Option Helper Medicaid ID,,!N/A!,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,!N/A!,Este número se puede encontrar en los avisos del programa Medicaid de tu niño/a y suele tener entre 7 y 8 dígitos.,!N/A!,,!N/A!,,!N/A!,
S1 - Optional ID Information - Option SNAP Case Number,,SNAP case number,SNAP case number,Número de caso de SNAP,Número de caso de SNAP,የSNAP የጉዳይ ቁጥር፦,የSNAP የጉዳይ ቁጥር,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option Helper SNAP Case Number,,This number can be found on your student's SNAP program notices and is typically 7 or 8 digits long.,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de tu estudiante y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa SNAP de tu niño/a y suele tener 7 u 8 dígitos.,ይህ ቁጥር በተማሪዎ የSNAP ፕሮግራም ማስታወቂያዎች ላይ የሚገኝ ሲሆን በተለምዶ 7 ወይም 8 አሃዞች አሉት።,ይህ ቁጥር በተማሪዎ የSNAP ፕሮግራም ማስታወቂያዎች ላይ የሚገኝ ሲሆን በተለምዶ 7 ወይም 8 አሃዞች አሉት።,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option TANF ID,,TANF identification number,Colorado Works (TANF) identification number,Número de identificación de TANF,Número de identificación de Colorado Works (TANF),የTANF መታወቂያ ቁጥር,የTANF መለያ ቁጥር,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Option Helper TANF ID,,This number can be found on your student's TANF program notices and is typically 7 or 8 digits long.,This number can be found on your child's Colorado Works (TANF) program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa TANF de tu estudiante y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa Colorado Works (TANF) de tu niño/a y suele tener 7 u 8 dígitos.,ይህ ቁጥር በተማሪዎ የTANF ፕሮግራም ማስታወቂያዎች ላይ የሚገኝ ሲሆን በተለምዶ 7 ወይም 8 አሃዞች አሉት።,ይህ ቁጥር በተማሪዎ የTANF ፕሮግራም ማስታወቂያዎች ላይ የሚገኝ ሲሆን በተለምዶ 7 ወይም 8 አሃዞች አሉት።,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Label Enter Student ID,,Enter their Unique Student ID,Enter their Unique Student ID,Ingresa su ID de estudiante único,Ingresa su ID de estudiante único,ልዩ የተማሪ መታወቂያቸውን( መለያ)ያስገቡ,ልዩ የተማሪ መታወቂያቸውን ያስገቡ,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Label Enter Medicaid ID,,!N/A!,Enter their Medicaid identification number (CIN / I-CIN),!N/A!,Ingresa su número de identificación de Medicaid (CIN / I-CIN),!N/A!,,!N/A!,,!N/A!,
S1 - Optional ID Information - Label Enter SNAP Case Number,,Enter their SNAP case number,Enter their SNAP case number,Ingresa su número de caso SNAP,Ingresa su número de caso SNAP,የSNAP የጉዳይ(Case) ቁጥራቸውን ያስገቡ,የSNAP የጉዳይ ቁጥራቸውን ያስገቡ,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Label Enter TANF ID,,Enter their TANF identification number,Enter their Colorado Works (TANF) identification number,Ingresa su número de identificación TANF,Ingresa su número de identificación Colorado Works (TANF),የTANF መለያ ቁጥራቸውን ያስገቡ,የTANF መለያ ቁጥራቸውን ያስገቡ,!N/A!,,Figma,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Optional ID Information - Alert Action Log Into Portal,,!N/A!,Contact us if you can't provide any of the suggested ID numbers.,!N/A!,Contáctanos si no puedes proporcionar ninguno de los números de identificación sugeridos.,!N/A!,,!N/A!,,!N/A!,This screen is not included in the app. Content is saved for future iterations if needed.
S1 - Result - Title,,!N/A!,Here's the information we found,!N/A!,Aquí está la información que encontramos,!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-18135&t=8l7C0qBZTmPYNmbj-4,We recommend that you fill out an application for this student,We recommend that you fill out an application for this child,"Para ayudarnos a decidir, te recomendamos que completes una solicitud para este estudiante","Para ayudarnos a decidir, te recomendamos que completes una solicitud para este niño/a",ለዚህ ተማሪ ማመልከቻ እንዲሞሉ እንመክራለን,ለዚህ ተማሪ ማመልከቻ እንዲሞሉ እንመክራለን,Ready to Publish,,"Figma, Code",
S1 - Result - Apply for SEBT - Body,,"Students may not be automatically enrolled because we do not have enough information to confirm their eligibility. But, they may still be eligible.",Children may not be automatically enrolled because we don't have enough information to determine their eligibility. But parents or guardians can apply to see if they are eligible.,"A veces los estudiantes no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.",ተማሪዎች ብቁ መሆናቸውን ለማረጋገጥ የሚያስችል በቂ መረጃ ስለሌለን በራስ-ሰር ላይመዘገቡ ይችላሉ። ግን፣ አሁንም ብቁ ሊሆኑ ይችላሉ።,ተማሪዎች ብቁነታቸውን ለማረጋገጥ የሚያስችል በቂ መረጃ ስለሌለን በራስ-ሰር ላይመዘገቡ ይችላሉ። ነገር ግን፣ አሁንም ብቁ ሊሆኑ ይችላሉ።,Ready to Publish,,"Figma, Code",
S1 - Result - Apply for SEBT - Body 1,,!N/A!,The following children *may not be automatically enrolled*.,!N/A!,Es posible que los siguientes niños *no estén inscritos automáticamente*.,!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Action Apply,,!N/A!,We recommend submitting a Summer EBT application for them,!N/A!,Recomendamos presentar una aplicación de Summer EBT para ellos,!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Body 2,,!N/A!,"Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.",!N/A!,"Es posible que los niños no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.",!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Body 3,,!N/A!,"To get summer [year] food benefits, you must apply by [date]. Applying for Summer EBT usually takes 10 minutes or less.",!N/A!,"Para recibir beneficios de alimentos en el verano de 2026, debes aplicar antes de [Fecha]. La solicitud para Summer EBT suele tomar 10 minutos o menos.",!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Body 4,,!N/A!,"After you apply, you will be contacted once your application is reviewed.",!N/A!,"Después de que envíes tu solicitud, te vamos a contactar cuando la revisemos.",!N/A!,,!N/A!,,!N/A!,
S1 - Result - Apply for SEBT - Accordion Title,,How do I know if they're eligible?,How do I know if they're eligible?,¿Cómo sé si pueden calificar?,¿Cómo sé si pueden calificar?,ብቁ መሆናቸውን እንዴት አውቃለሁ?,ብቁ መሆናቸውን እንዴት አውቃለሁ?,Ready to Publish,,"Figma, Code",
