Variable Name/Key,Figma Preview URL,🟢 CO English Current,⚪ SOURCE English,🟢 CO Español Current,⚪ SOURCE Español,Status,Environment,Notes
S1 - Landing Page - Body 5,,"They attend a school, Pre-K, or Head Start program that offers the NSLP, **and**
Everyone in their household combined earns less than 185% of the federal poverty guideline.",,"Asisten a una escuela, programa de prekínder (Pre-K) o Head Start que ofrece el Programa Nacional de Almuerzos Escolares (NSLP), **y**

todas las personas de su hogar, sumadas, ganan menos del 185% de las pautas federales de pobreza.",,Ready to Publish,"Figma, Code",
S1 - Landing Page - Body 6,,"Tap ""Check enrollment"" to see if you should apply for your child.",,Toca “Verificar inscripción” para ver si deberías aplicar para tu niño/a.,,Ready to Publish,"Figma, Code",
S1 - Disclaimer - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6736-19904&t=YXMlziLO2efq09F2-4,What to know before we begin,What to know before we begin,Lo que debes saber antes de comenzar,Lo que debes saber antes de comenzar,Ready to Publish,"Figma, Code",
S1 - Disclaimer - Body 1,,"First, we'll check if your child is already enrolled.",This is not an application for Summer EBT.,"Primero, verificaremos si tu niño/a ya está inscrito.",Esto NO es una aplicación para Summer EBT,Ready to Publish,"Figma, Code",
S1 - Disclaimer - Body 2,,"If they are, we can tell you how we will issue the benefit to them. If they aren't, we'll share the application form with you to fill out.",This tool will help you learn if your children are potentially eligible for Summer EBT and if you should apply.,"Si ya lo está, podemos decirte cómo le enviaremos el beneficio. Si no lo está, compartiremos contigo el formulario de aplicación para que lo llenes.",Esta herramienta te ayudará a saber si tus niños podrían calificar para Summer EBT y si debes aplicar.,Ready to Publish,"Figma, Code",
S1 - Disclaimer - Body 3,,The information you provide will be kept private and secure.,The information you provide will be kept private and secure.,La información que nos proporciones se mantendrá privada y segura.,La información que nos proporciones se mantendrá privada y segura.,Ready to Publish,"Figma, Code",
S1 - Disclaimer - Body 4,,Using this tool will not affect your potential Summer EBT benefits or other benefits you get.,Using this tool will not affect your potential Summer EBT benefits or other benefits you get.,Usar esta herramienta no afectará tus posibles beneficios de Summer EBT ni otros beneficios que recibes.,Usar esta herramienta no afectará tus posibles beneficios de Summer EBT ni otros beneficios que recibes.,Ready to Publish,"Figma, Code",
S1 - Personal Information - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-16775&t=YXMlziLO2efq09F2-4,Check if your child is already enrolled in Summer EBT,Check if your child needs to apply for Summer EBT,Comprueba si tu niño/a necesita aplicar para recibir los beneficios de Summer EBT,Comprueba si tu niño/a necesita aplicar para recibir los beneficios de Summer EBT,Ready to Publish,"Figma, Code","Keeping ""auto-enrolled"" in English keeping it as a more descriptive heading ""needs to apply"" in Spanish"
S1 - Personal Information - Body,,Please provide your child's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Please provide your child's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Por favor ingresa la información de tu niño/a en los campos obligatorios que aparecen abajo. Esta herramienta verificará si tu niño/a está inscrito/a automáticamente para recibir beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu niño/a queda inscrito de forma automática para recibir los beneficios.,Ready to Publish,"Figma, Code",
S1 - Personal Information - Label Birthdate,,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,Ready to Publish,"Figma, Code",
S1 - Personal Information - Label Month,,Month,Month,Mes,Mes,Ready to Publish,"Figma, Code",
S1 - Personal Information - Label Day,,Day,Day,Día,Día,Ready to Publish,"Figma, Code",
S1 - Personal Information - Label Year,,Year,Year,Año,Año,Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=6034-16775&t=YXMlziLO2efq09F2-4,Here's the information we have so far,Here's the information we have so far,Aquí está la información que tenemos hasta ahora.,Aquí está la información que tenemos hasta ahora,Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Body,,"Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Revisa la información de tu(s) niño/a(s) a continuación. Puedes agregar otro niño/a para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus niños.","Revisa la información de tu(s) niño/a(s) a continuación. Puedes agregar otro niño/a para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tu(s) niño/a(s).",Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Table Name Heading,,Name,Name,Nombre,Nombre,Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Table Name Value,,[First name] [M.] [Last name],[First name] [M.] [Last name],[Nombre] [Inicial del segundo nombre] [Apellido],[Nombre] [Inicial del segundo nombre] [Apellido],Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Table Birthdate Heading,,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Table Birthdate Value,,"[Month], [Day] [Year]","[Month], [Day] [Year]",[día] de [mes] de [año],[día] de [mes] de [año],Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Table Action,,Update this child's information,Update this child's information,Actualizar la información de este niño/a,Actualizar la información de este niño/a,Ready to Publish,"Figma, Code",
S1 - Confirm Personal Information - Action Add,,Add another child,Add another child,Agreguar otro niño/a,Agregar otro niño/a,Ready to Publish,"Figma, Code",
S1 - Optional ID Information - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=8028-29275&t=YXMlziLO2efq09F2-4,We checked our records and need more information to see if [First name] [M.] [Last name] is enrolled,We checked our records and need more information to see if this child can get Summer EBT,Revisamos nuestros registros y necesitamos más información para saber si [First name] [M.] [Last name] está inscrito(a).,Revisamos nuestros registros y necesitamos más información para ver si este niño/a puede recibir Summer EBT,!N/A!,!N/A!,
S1 - Optional ID Information - Body,,"We suggest providing any of the child's State Assigned Student ID (SASID), SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","We suggest providing any of the child's Student ID, SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Te sugerimos que proporciones, si los tienes, cualquiera de estos números de tu niño/a: su número de identificación de estudiante asignado por el estado (SASID), número de SNAP, Colorado Works (TANF), o Medicaid. Así podremos darte una mejor respuesta sobre si esta preaprobado.","Sugerimos que proporciones el número de identificación estudiantil, número de SNAP, Colorado Works (TANF) o Medicaid del niño/a, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",!N/A!,!N/A!,
S1 - Optional ID Information - Label Which ID,,Which ID number can you provide? *,Which ID number can you provide? *,¿Qué número de identificación puedes proporcionar? *,¿Qué número de identificación puedes proporcionar?,!N/A!,!N/A!,
S1 - Optional ID Information - Option Student ID,,State Assigned Student ID (SASID),Unique Student ID,Número de identificación de estudiante asignado por el estado (SASID),Identificación de estudiante única,!N/A!,!N/A!,
S1 - Optional ID Information - Option Helper Student ID,,This is a unique 10-digit number assigned to your child. Their school may be able to provide it if you do not know it.,This number is the Universal Student ID Number for your child.,Este es un número único de 10 dígitos asignado a tu niño/a. Su escuela puede dártelo si no lo conoces.,Este es el número de identificación universal de estudiante de tu niño/a,!N/A!,!N/A!,
S1 - Optional ID Information - Option Medicaid ID,,Medicaid identification number (CIN / I-CIN),Medicaid identification number (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),!N/A!,!N/A!,
S1 - Optional ID Information - Option Helper Medicaid ID,,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa Medicaid de tu niño/a y suele tener entre 7 y 8 dígitos.,Este número se puede encontrar en los avisos del programa Medicaid de tu niño/a y suele tener entre 7 y 8 dígitos.,!N/A!,!N/A!,
S1 - Optional ID Information - Option SNAP Case Number,,SNAP case number,SNAP case number,Número de caso de SNAP,Número de caso de SNAP,!N/A!,!N/A!,
S1 - Optional ID Information - Option Helper SNAP Case Number,,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de tu niño/a y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa SNAP de tu niño/a y suele tener 7 u 8 dígitos.,!N/A!,!N/A!,
S1 - Optional ID Information - Option TANF ID,,Colorado Works (TANF) identification number,Colorado Works (TANF) identification number,Número de identificación de Colorado Works (TANF),Número de identificación de Colorado Works (TANF),!N/A!,!N/A!,
S1 - Optional ID Information - Option Helper TANF ID,,This number can be found on your child's Colorado Works (TANF) program notices and is typically 7 or 8 digits long.,This number can be found on your child's Colorado Works (TANF) program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa Colorado Works (TANF) de tu niño/a y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa Colorado Works (TANF) de tu niño/a y suele tener 7 u 8 dígitos.,!N/A!,!N/A!,
S1 - Optional ID Information - Label Enter Student ID,,State Assigned Student ID (SASID),Enter their Unique Student ID,Número de identificación de estudiante asignado por el estado (SASID),Ingresa su ID de estudiante único,!N/A!,!N/A!,
S1 - Optional ID Information - Label Enter Medicaid ID,,Enter their Medicaid identification number (CIN / I-CIN),Enter their Medicaid identification number (CIN / I-CIN),Ingrese su número de identificación de Medicaid (CIN / I-CIN),Ingresa su número de identificación de Medicaid (CIN / I-CIN),!N/A!,!N/A!,
S1 - Optional ID Information - Label Enter SNAP Case Number,,Enter their SNAP case number,Enter their SNAP case number,Ingrese su número de caso SNAP,Ingresa su número de caso SNAP,!N/A!,!N/A!,
S1 - Optional ID Information - Label Enter TANF ID,,Enter their Colorado Works (TANF) identification number,Enter their Colorado Works (TANF) identification number,Ingrese su número de identificación Colorado Works (TANF),Ingresa su número de identificación Colorado Works (TANF),!N/A!,!N/A!,
S1 - Optional ID Information - Alert Action Log Into Portal,,Contact us if you can't provide any of the suggested ID numbers.,Contact us if you can't provide any of the suggested ID numbers.,Contáctanos si no puedes proporcionar ninguno de los números de identificación sugeridos.,Contáctanos si no puedes proporcionar ninguno de los números de identificación sugeridos.,!N/A!,!N/A!,
S1 - Result - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=8025-28159&t=YXMlziLO2efq09F2-4,Here's the information we found,Here's the information we found,Aquí está la información que encontramos,Aquí está la información que encontramos,Ready to Publish,"Figma, Code",
S1 - Result - Apply for SEBT - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=8025-28199&t=YXMlziLO2efq09F2-4,!N/A!,We recommend that you fill out an application for this child,!N/A!,"Para ayudarnos a decidir, te recomendamos que completes una solicitud para este niño/a",!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Body,,Children may not be automatically enrolled because we don't have enough information to determine their eligibility. But parents or guardians can apply to see if they are eligible.,Children may not be automatically enrolled because we don't have enough information to determine their eligibility. But parents or guardians can apply to see if they are eligible.,"A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.",Ready to Publish,"Figma, Code",
S1 - Result - Apply for SEBT - Body 1,,The following children **were NOT enrolled** in Summer EBT for 2026,The following children *may not be automatically enrolled*.,Los siguientes niños **NO estuvieron inscritos** en Summer EBT para 2026.,Es posible que los siguientes niños *no estén inscritos automáticamente*.,Draft (DC-701),"Figma, Code",DC-701 closed-season copy; the sheet tracks this text on its 'S1 - Result - Apply for SEBT - Closed - Body 1' row
S1 - Result - Apply for SEBT - Action Apply,,!N/A!,We recommend submitting a Summer EBT application for them,!N/A!,Recomendamos presentar una aplicación de Summer EBT para ellos,Draft (DC-701),"Figma, Code",DC-701: apply link removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Body 2,,Children may not have been enrolled because we didn’t have enough information to determine their eligibility.,"Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.",Es posible que los niños no hayan sido inscritos porque no teníamos suficiente información para determinar si calificaban.,"Es posible que los niños no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.",Draft (DC-701),"Figma, Code",DC-701 closed-season copy; the sheet tracks this text on its 'S1 - Result - No Results - Closed - Body 4' row
S1 - Result - Apply for SEBT - Body 3,,!N/A!,"To get summer [year] food benefits, you must apply by [date]. Applying for Summer EBT usually takes 10 minutes or less.",!N/A!,"Para recibir beneficios de alimentos en el verano de 2026, debes aplicar antes de [Fecha]. La solicitud para Summer EBT suele tomar 10 minutos o menos.",Draft (DC-701),"Figma, Code",DC-701: apply instructions removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Body 4,,!N/A!,"After you apply, you will be contacted once your application is reviewed.",!N/A!,"Después de que envíes tu solicitud, te vamos a contactar cuando la revisemos.",Draft (DC-701),"Figma, Code",DC-701: apply follow-up removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Accordion Title,,!N/A!,How do I know if they're eligible?,!N/A!,¿Cómo sé si pueden calificar?,Draft (DC-701),"Figma, Code",DC-701: eligibility accordion removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Accordion Body 1,,!N/A!,You should apply if your child attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,!N/A!,"Si tu niño/a va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) o el Progama de Desayunos Escolares (SBP), deberías aplicar.",Draft (DC-701),"Figma, Code",DC-701: eligibility accordion removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Accordion Body 2,,!N/A!,Tap here to fill out an application,!N/A!,Toca tu pantalla aquí para llenar una solicitud,Draft (DC-701),"Figma, Code",DC-701: eligibility accordion removed for the closed season; not reflected in the sheet
S1 - Result - Apply for SEBT - Accordion Body 3,,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar.,Ready to Publish,"Figma, Code",
S1 - Result - Apply for SEBT - Accordion Label Select Number People,,Select the number of people in your household,Select the number of people in your household,Selecciona el número de personas que viven en tu hogar,Selecciona el número de personas que viven en tu hogar,Ready to Publish,"Figma, Code",
S1 - Result - Apply for SEBT - Accordion Body Alert Income,,"If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que califiques El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que califiques. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.",Ready to Publish,"Figma, Code",
S1 - Result - Apply for SEBT - Card 1 Title,,!N/A!,"To receive benefits for this summer, you must apply by August 25",!N/A!,Para recibir beneficios para este verano debes presentar tu solicitud antes del 25 de agosto,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Card 1 Body,,!N/A!,"The sooner you apply, the sooner your application will be reviewed. Applying for Summer EBT usually takes 10 minutes or less.",!N/A!,"Mientras más pronto envíes tu solicitud, más pronto la vamos a revisar. Solicitar Summer EBT normalmente toma 15 minutos o menos.",!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Card 1 Action,,!N/A!,Apply for Summer EBT,!N/A!,Aplicar para Summer EBT,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Library Applications,,!N/A!,Copies of the paper application are also available year-round at DC public libraries.,!N/A!,También hay copias de la aplicación disponibles en las bibliotecas públicas de DC.,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Notify Success ,,!N/A!,Your email address has been submitted. We’ll notify you when the online application is available.,!N/A!,Tu correo electrónico ha sido enviado. Te avisaremos cuando la aplicación en línea esté disponible.,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Card 2 Title,,!N/A!,Do you have other children in your household?,!N/A!,¿Tiene otros niños en tu hogar?,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Card 2 Body,,!N/A!,"To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.",!N/A!,"Para verificar si necesitas entregar una aplicación para Summer EBT para algún otro niño/a en tu hogar que está en edad escolar, proporciona tu información haciendo clic en el botón a continuación.",!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Card 2 Action,,!N/A!,Check another child,!N/A!,Revisar otro(a) niño/a,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Notify Title,,!N/A!,Online applications open June 8 — sign up to be notified when you can apply:,!N/A!,Las aplicaciones en línea se abrirán el 8 de junio — regístrate para recibir una notificación cuando puedas aplicar:,!N/A!,!N/A!,
S1 - Result - Apply for SEBT - Notify Label Email,,!N/A!,Enter your email address,!N/A!,Ingresa tu correo electrónico,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Title,https://www.figma.com/design/32kDQ73MSbUNdAsVi8fQzF/CO-11-3-25-%F0%9F%9F%A2-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=8025-28159&t=YXMlziLO2efq09F2-4,!N/A!,"Looks like your child is eligible, and you DO NOT need to submit an application for this child",!N/A!,Parece que tu hijo(a) califica y NO es necesario que aplique.,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Body,,!N/A!,"Based on our records, we already have all the information we need to determine your child's Summer EBT eligibility for 2026.

2026 Summer EBT benefits were issued beginning in June 2026 and expire 122 days after issuance.",!N/A!,"Según nuestros registros, ya tenemos toda la información que necesitamos para determinar la elegibilidad de Summer EBT de tu niño/a para 2026.

Los beneficios de Summer EBT 2026 se emitieron a partir de junio de 2026 y vencen 122 días después de su emisión.",!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Body 1,,The following children were enrolled in Summer EBT for 2026,The following children are *likely automatically enrolled for Summer EBT for 2026*.,Los siguientes niños estuvieron inscritos en Summer EBT para 2026.,Es *probable que los siguientes niños estén inscritos automáticamente* en Summer EBT para 2026,Draft (DC-701),"Figma, Code",DC-701 closed-season copy; the sheet tracks this text on its 'S1 - Result - Streamlined Enrolled - Closed - Body 1' row
S1 - Result - Streamlined Enrolled - Alert Title,,Check the Summer EBT Portal to see where your enrolled children will receive their benefits.,Check the Summer EBT Portal to see where your children will receive their summer food benefits,Revisa el Portal de Summer EBT para ver dónde recibirán sus beneficios los niños que ya están inscritos.,Revisa el portal de Summer EBT para ver dónde tus niños recibirán sus beneficios de alimentos de verano,Ready to Publish,"Figma, Code",
S1 - Result - Streamlined Enrolled - Alert Body,,"If they received the food benefit for a previous summer, we may issue their one-time $120 payment to the same Summer EBT card.

If your child is new to Summer EBT or their previous card needs to be replaced, we will mail a new card to the address we have on file.","If they received the food benefit for a previous summer, we may issue their one-time $120 payment to the same Summer EBT card.

If your child is new to Summer EBT or their previous card needs to be replaced, we will mail a new card to the address we have on file.","Si recibieron el beneficio de alimentos en un verano anterior, enviaremos su pago único de $120 a la misma tarjeta de Summer EBT.

Si tu niño/a es nuevo en Summer EBT o su tarjeta anterior ha sido desactivada, te enviaremos una nueva tarjeta por correo a la dirección que tenemos registrada.","Si recibieron el beneficio de alimentos el verano pasado, emitiremos su pago único de $120 a las mismas tarjetas de Summer EBT.

Si tu niño/a es nuevo en Summer EBT o si su tarjeta anterior necesita ser reemplazada, te enviaremos una nueva tarjeta por correo a la dirección que tenemos registrada.",Ready to Publish,"Figma, Code",
S1 - Result - Streamlined Enrolled - Alert Action,,!N/A!,"To check the mailing address we have on file, log in to the Summer EBT Portal",!N/A!,"Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de Summer EBT",!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Body 2,,!N/A!,We recommend logging into the Summer EBT portal to confirm,!N/A!,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Body 3,,!N/A!,Scroll down to view information we found about your other children.,!N/A!,Desliza hacia abajo para ver la información que encontramos sobre tus otros niños.,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Action,,Go to the Summer EBT Portal,Go to the Summer EBT Portal,Ir al Portal Summer EBT,Ir al Portal de Summer EBT,Ready to Publish,"Figma, Code",
S1 - Result - Streamlined Enrolled - Card 1 Title,,!N/A!,Enrolled in SNAP or Colorado Works (TANF)?,!N/A!,¿Está inscrito en el SNAP o Colorado Works (TANF)?,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Card 1 Body,,!N/A!,"If your student has SNAP or Colorado Works (TANF), your Summer EBT will be loaded on the existing SNAP or TANF card on that date.",!N/A!,"Si tu estudiante tiene SNAP o Colorado Works (TANF), sus beneficios de Summer EBT se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.",!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Card 2 Title,,!N/A!,Do you have other children in your household?,!N/A!,¿Tiene otros niños en tu hogar?,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Card 2 Body,,!N/A!,"To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.",!N/A!,"Para verificar si necesita presentar una solicitud de Summer EBT para algún otro niño/a en tu hogar que está en edad escolar, proporciona su información haciendo clic en el botón a continuación.",!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Card 2 Action,,!N/A!,Check another child,!N/A!,Revisar otro(a) niño/a,!N/A!,!N/A!,
S1 - Result - Streamlined Enrolled - Steps Heading,,Next steps,Next steps,próximos pasos,próximos pasos  ,Ready to Publish,"Figma, Code",
